clean_text,label
just saw the words tinker tailor soldier spy and muttered no aloud,0
rt this talking eggplant skurred af,0
rt oreo donut,0
rt muslim jihadi keep calm and,0
hoes austin teach us austin i teach u how to get curved that s all i know,0
rt some hoes look better without they avi enlarged,1
x x rt fat bitches with normal sized legs be looking like car keys,1
pistols and bad bitches hustlers and bad business,1
it s not ghetto you fool,0
naah da twitter bird,0
yeah because george zimmerman is a pussy ass coward,1
i talked to some birds i fell in love again,0
so my mom told me she put my drug paraphernalia in the trash the shitty life of a stoner with a cop mom im pretty upset,1
i used to dress up like a cop too oh really yeah right after mad pussy really yes i ll never forget,1
a random am scroll lands me here rt charlie horses durin sex just simply means you didn t drink enough water that day,0
rt i wanted change and excitement and to shoot off in all directions myself like the colored arrows from a fourth of july,0
this nigglet,1
heard some good news today and all i gotta say is karma is a bitch,1
mike calls me t bird,0
rt martin short on conan oct with your yellow skin and red hair you look like a pencil,0
i m just saying it s not like you were up against a bird eating spider or something bet coulda done it,0
your teeth are like the stars aww thanks yeah yellow and far away from each other,0
rt i much prefer this classic blue and yellow rams uniform to anything we ve seen since that magical year not even close,0
rt times outta a bitch gonna know if she a hoe or not,1
that pussy so wet i m calling it rain,1
i used to picture him coming up the wadi to fob sharana with a barrel of brandy for me,0
all da white folk off twitter yet da colored tweet at night while y all sleep cuz you gotta woyke tomorrow,0
that s most niggas rt fucking with the wrong bitches got me cold as ice,1
rt good pussy is pussy that makes you really think bout making her breakfast pussy that makes you think about being a father,1
this is why nothing gets done morons like coburn trying ad a gun amendment a public works bill push back on the,0
they are mostly restaurants i m a fat ho rt if you have more than contacts in your phone you a hoe,1
she unfollowed me after i said i cried watching dawn of the apes lmaooooooo,0
rt rt i love hood bitches god help me lmaoooo,1
rt you re a cunt screen shot that,1
punch that hoe cause she deserve it,1
rt bitches post all types of sex position pics with heart emojis but let yu get her in that position this bitch complain a,1
perfect stock photography for an article about not letting a leprechaun looking handyman get into your liquor cabinet,0
rt remember when you got your crush s aim screenname and you felt all fuzzy inside and stared at your screen and figured out what,0
uh i think his mom loves him you fucking retard i m sure your gunna be so successful emilie we all believe,1
a nigga who gets alot of bitches is not gonna value you like someone else would youre just another one lol cut that out,1
uh oh its what you gonna preach and cry about today faggot,1
up too early the damn birds are still chirping smh,1
jake gettin all da bitches rn,1
rt if you honk your horn seconds after the light turns green i will shut off my car lay on the hood and feed birds fo,0
you boil my blood just how spoilt and how much ae an arrogant bitch you are if u try to show off i ll flip nd most likely go nuts,1
us english it s our go learn grammar u dick sucking hoe,1
my nigga rt feel good to not have no hoes yall can t even throw that charge my way no more,1
im a boss ass bitch,1
nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1
ms martinez fuckin with the cripple kid,1
mt ted cruz we are proud wacko birds is that a pun,0
rt i m tired of fat hoes calling themselves thick bitch yo fat ass can t even bend over and touch your toes withou,1
rt woah the depth of this ollusion is unreal,0
h fake bitches,1
fuck you bitch,1
i want oreos who can help me,0
we re laying rock around our lake you re welcome to join a redneck workout,0
that nigga was eating that hoe lol,1
profesional sports are only enjoyed by white trash,1
i m not dating anyone right now i m giving my pussy a brake,1
the redskins should change their name to the injuns,0
rt yall hoes be looking so bad in your avi s then i look at the rest of your pics and u ugly as shit,1
mccann although not having the greatest of seasons would be a step up from russel martin mccann or carlos ruiz,0
rt when a ghetto girl tries to read in class pt lmaooo,0
fuck you you pussy ass hater go suck a dick and die quick someone to me in youtube comments i think we d be good friends,1
rt crew of women hillbillies amp gangsters w the director,0
charlie crist r i d fl rumored to demand a recount,0
rt girls don t let a guy treat you like a yellow starburst you are a pink starburst,0
nope rt just ordered domino s am i trash,0
now that nicki minaj said fuck skinny bitches watch all these fat bitches come outta no where it s time to play,1
i don t want a bitch that a nigga already had i want sumn new or a runner it s too easy nigga i accept the challenge,1
or he s eating it cuz he s with a women who just can t cook then u gotta get rid of that hoe,1
these bitches so broke instead of go get it they quick to go ask for somethin,1
rt i still be craving an oreo mcflurry b,0
i love the acoustic domes in the hallways favorite place to sing in public no lie,0
stop whacking off in the shower queer boy,1
rt poont gotta be trash,0
michael sam being cut further proves that we fags don t belong in football or it is a heterosexual sport for heterosexuals,1
rt ho ho ho bitches merry months ish until christmas,1
lmao redskins turnin up,0
you re wearing my sweatshirt in your snapchat story hoe love you tho lol,1
rt i wonder if those fans in la feel like charlie brown after lucy pulls the ball away,0
just got his pussy kicked he s out done wins per fox news,1
are you for real right now this kid haha where you at pussy,1
rt i love when celeb nudes leak and all the girls with trash bodies try and critique them,1
rt it s okay chiquito i m not in the ghetto anymore,0
rt i wish i had pretty colored eyes,0
this scally lad would get it,0
former towie star charlie king comes out inspiring congrats and welcome to the family,0
i d be the best at owning a bird i could teach them the funniest things to say,0
it s fucking real retard holy fuck can you not read my tweets fucktard,1
rt i only be looking like i m fucking bitches i don t tho,1
thanks for the follow guys i m enjoying a cold yellow belly right now,0
jihadis specifically asking for international schools in to be targeted,0
don t be a bitch get two,1
she said pop can u make it rain i said bitch i m a water bearer i bring da flood i ll make you drown,1
u a bitch in niggas clothing shut yo ass up,1
jim hogg county a dirt poor democrat leaning county hebronville is it s seat been there it s a near ghetto,1
as in gt gt dogs don t eat each other as much as birds do not everything is as it seems in human terms,0
my bitch,1
please tell this bitch i m subbin her ik one of you faggs on here fuck with those lames shit i m blocked or i would lol,1
did one of the biggest hoes around really just retweet that,1
some of yall just popular cuz of yall name these bitches be ugly,1
hick yes,0
rt yo bag gucci but you still ugly hoe shut up,1
i need some claritin clear in this bitch,1
eli manning just threw his nfl leading th interception of the season lmao trash,0
one of the great treasures of living in san diego is ready access to mexican twinkies made with real sugar and mexican coca cola,0
sweet baby birds you crack me up houston foodlovers,0
rt bullying doesn t exist bitch ass people exist if you don t stand the fuck up for yourself amp stop being a pussy,1
can t worry about a bitch that ain t worried bout me,1
she burned that bitch,1
ugh bad bitches picture coming soon,1
rt mcnair had brisket sizzlin on the grill when his side hoe laid the uzi game down,1
rt i wanna watch a nigger made before christmas,1
watch yo hoe,1
thank you again mick,0
a dyke who wears strap ons can t brag to me that she beats the pussy better than me because her dildo can t cum and make her stop,1
i may or may not have at least fob related tattoos already planned out,0
rt i m a cool ass nigga lbs it s rare if a mf don t like me nigga you either hating or mad cus yo bitch choosing,1
not what i said i want a dj to mix the track regardless for their own use the video gon be dumb retarded with the reg versi,1
rt the only things you need in life are comfy shirts and oreos,0
all i want is cheesy bread and brownies,0
roy hibbert so trash it s unbelievable,1
rt fuckin ignorant ass niggas don t dm me a video of you counting money n say why u so stuck up bitch,1
omg chloe just pulled up to my house like come outside bitch hella cray,1
so why the fuck are still talking shit you acting like a pussy ass nigga,1
rt i hate when niggas be slobin all on the blunt like they eatin pussy amp have the nerve to try amp pass it i m good nigga i,1
amateur boy fucking bitch hiddencam,1
in the words of lil debbie i m that bitch,1
versace bird feeder,0
hate to sound all callous and all but had it a lot worse than the,0
brownies for my brownie i love this movie,0
must have been a light skin hoe lmfao wtf she mean af he wasnt ready bruh rip,1
whats it say i see bird in it lmao,0
bwahaaaa i just choked on an oreo cookie i m figuring this may have something to do with it,0
i just said that rt my tl gotta chill with this pretty face challenge foolishness y all hoes agg,1
ain t nuttin ta cut that bitch off,1
s o the fat bitches who ride dick with a t shirt on,1
i m not a liberal amp i support changing the name it transcends standard political grandstanding,0
rt obama i will always do what is necessary to protect the american people and defend against evolving threats to our ho,0
rt yankee doodle had a farm cotton farm,0
rt my co worker talking about what s my twitter name oh no hoe you could never screen shot me to the boss,1
niggas be frontin for some pussy they ain t wit me,1
rt rt if you killed a bitch with your dick,1
fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga y all some fake ass people,1
its either a gun a sandwich or both details looking really fuzzy right now and i don t trust any police department in mo,0
this was my chit shake that monkey beeotch,1
i hear the same thing day in and day out its for the birds,0
when did gum get so soft you sons of bitches,1
brazilian bbw babe drilled in pussy and ass,1
yeah that niggah played good lowkey i wanted brazil to win,1
directions let bird chill in sink for minutesme ok,0
i m dumb then a hoe haha i already lost that thing ya gave me today,1
thank you jackass zebras,0
shouts out to my down ass bitches who never give a nigga a hard time,1
random running dogs in the ghetto,0
wait wait wait the new one or the ep son of a bitch lucky,1
dubya hates todays teabagger movement,0
she sucks bitch cant even pretend dance,1
i ll be a yankee fan forever,0
kush god bitch,1
rt dej loaf is trash pure trash,0
my dads side of the family is ghetto af my moms side if the family all prim and proper haha,1
rt new bus stop guy across the street is yelling and doing david lee roth kicks at swooping crows i should learn karate,0
scott brooks finds new ways to flip me the bird each game i know it s the right move but,0
rt on the field in our hearts what if star derek jeter starred in back to school,0
bad bitch on my line tryna give me brains,1
probably time to put this twitter feed to bed,0
i have never once in my life been to a coffee shop like starbucks i am a hick though,0
whatever i m going to concert today i cant be a little bitch right now,1
this niggah seems really clingy mhmm idk about that,1
do you really believe people evolved from apes not really i m quiet convinced with the evolution of man but,0
up in this bitch like elevators,1
bad bitches is the only thing i like,1
yung nakalagay sa second page ng handout na may closed ended questions etc tapos lalagay sa yellow pad,0
faggots,1
you losing and that s what u trying to do stupid yardie,0
shutup faggot rt to fumble took them a while,1
you only bully people you know you can why you ain t do this in the playoffs bitch,1
rt i m not the type of guy to bitch about how hot it is but it s about to be and i m still sweating q,1
charlie bit me,0
rt day down more days with out pot your a faggot,1
alas i am proficient in neither my skills are limited to pointless stat memorization trash talk,0
gta online today bitch ass niggas,1
erotic and wild tits and pussy fucking,1
lmao joe was calling whitehouse offering advice yeah the president cares what a disgraced former redneck house guy from fl says,0
rt new census questions tempest in teapot aca stays costs down mil getting covered is a success story to,0
y all like sayin money don t buy happiness but name a niggah sitting in a lambo crying,1
how mich time the p o p hold it down nigga bitch catch,1
swear to god man niggas talk more than bitches these days,1
ayy carlton is a ghetto school now,1
rt in their primes mj would have dominated lbj in on just so much mentally tougher mj s trash talk alone would unn,0
its obvious the bitch is still immature and havent let go of the past yet just face it you fucked up a good thing,1
another black man what does that have to do with anything once a monkey always a monkey chicago idiot,1
hoes twerking heavy to that,1
i love how we can marry and still be the same queer messy funny fabulous dramatic community we ve always been why i love us,0
i d rather follow some girls on instagram rather than have their bird brain tweets on my tl,0
young japanese girl s hairy cunt creampied,1
i know im so kidding some of bet is funny i love when blacks call eachother ignorant and niggers makes me not have to,1
rt asked betances before the game if he d like to be a starter again someday if the yankees ever asked me i would but i m a r,0
ima knock the pussy out like fight night,1
rt fuck a title bitch throw that ass back ye ye,1
rt finna fly me a thot out here get back on my make bitches fly like peter pan shit,1
yee boy my yung nicca told me dat waxx,0
rt u can eat all the pineapples you want ur pussy still trash,1
rt godiva chocolate dipped oreos,0
rt if jeremy lin dunked on lebron in a yankees cap and then celebrated by tebowing in front of brett favre would espn exp,0
lol bitch yo display name,1
hairy florence shoves a dildo in her hairy red pussy,1
charlie sheen could coach better than crusty dusty yeah they hired bryan price the pitching coach,0
bitches be like new avi gt gt and i m just like bitch your new avi is ugly your old avi was ugly bitch you ugly,1
women use niggas all the time for monetary purposes and gain if a bitch wanna buy me some sneakers i ain t turning shit down,1
apple sauce bitch,1
rt the best way to make a hillbilly do something is to tell him he can t do it,0
my girlfriend i kid you not eats bacon without dipping it into the tub of creamy butter i ve laid out i m like what are you a bird,0
an itsy bitsy teeny weeny yellow pock a dot bikini polk ashton polk,0
iggy is trending twitter s trash today,0
rt i just wanna leave this bitch for a weekend,1
nigger,1
he s trash he said he s not doing collabs for anything less than mil naira like booyyyyyy,0
she got me like fuck that bitch,1
rt hoes on gish road be lookin like talkin bout dolla sucky sucky,1
yellow rice black beans and pork chop sis,0
rt fuck bitches get touchdowns,1
people on this site are fucking retarded sometimes,1
where s the part where fat amy goes err wop wobn wefo,0
took uber yesterday advertised as lt ny taxis but was actually a yellow taxi at same price,0
i love fat bitches that s my fucking problem,1
hi ho,0
shorty name is masika and y all surprised she a hoe,1
this is retarded,1
you re not a very good listener twitpic a selfie with a bad bitch,1
skippy and the kats,0
rt when you cracking jokes on your friend in the bitch take it to far,1
rt yo bcu band made ucf band look like trash,0
toto means ass or vagina i think pussy cause toto santi is like nasty pussy,1
lol it s gonna be so fun got two niglets on the way,1
shut up birds it s bed time,0
or i m vibing and they ask to see the aux cord knowing they bout to play some trash,0
yellow is even better,0
rt bitch you ugly as fuck are you a fuck tranny get alligator face as,1
rt rolling backpacks get all the bitches,1
also it s a hiccup to jihadi propaganda they portray themselves as the only ones willing to die for their cause,0
rt jihadi work accident seven taliban fighters including top commander killed when roadside bombs detonate prematurely h,0
how is it fucked up you fucking retard condemning ray rice yet supporting chris brown who s a women abuser that s logical,1
rt kevin love out here bein a hoe just let the world know u gonna be a laker season dawg,1
what s with that come at me bro bird stressful,0
bush took times as many vacations republican teabaggers are pusses wah,1
paki,0
rt charlie rangel should apologize to tea party members i ll set up meetings so he can explain his outrageous comments,0
rt then he just got too basic amp the hoes loved it from then on he made them his focal audience,1
i remember laying on a hospital bed after being shot ranting about how coconut shrimp was trash,0
well you got to see pom pom pete,0
do it pussy,1
we don t want yo bitch mane we just wanna have fun with her,1
rt criticize amanda for saying the n word sure but don t make jokes about her sexual assault don t be trash,0
i i see some hoes in hurrrr,1
let s play what will the ghetto white girl with neck tattoos in front of me buy if you answered cigarillo s you ve seen this episode b,0
man too much damn giggling was going he was offering tips and shit lol think i even heard the bitch spit a couple times,1
grand opening top class oriental massage perfect,0
bf i think we need some pet insurance gf lmao why what for bf because i m destroying your pussy everyday,1
rt dear dessert heaven fangs so much for these oreo spooky ball vampires,0
i saved a bird yesterday,0
i m feelin like malcolm in the middle these bitches surround me they can t miss em,1
rt friendly reminder that you shouldn t try to have sex with birds,0
dat was charlie,0
the nerve of these hoes,1
bitches,1
rt i can do somethin good but im always gon be a wetback coo,1
rt trying so hard to resist the urge to smack a bitch,1
you look like little birds help you get dressed in the morning,0
sooo my first aid cpr certification came in handy tonight glad i didn t lose my monkey,0
kill her body with four play her pussy should be so weak from teasing that its impossible to hold back a orgasm during heated sex,1
allergies ain t bothered me all summer now all of a sudden in the middle of august shit is startin to get real ain t that about a bitch,1
cactus is a yellow lab chow mix too hershey was everybody s active buddy cactus is one special pup she s an angel,0
wyd fag,1
it s a matter of pure weight ratios a five ounce bird can not carry a one pound coconut,0
that was trash i m just gonna put my phone down goodnight,0
i didnt buy any alcohol this weekend and only bought fags proud that i still have quid tbh,0
rt i hate when a bitch says she dont care if her nigga broke and he got nothing going for himself acting like a fake ri,1
remember this bro don t show people this,1
rt on boys im a retard sometimes all the time,1
i wonder if the progs didn t relegate young black men to the ghettos to keep them away from harry reid s friends,0
y all sleep on shy glizzy young jefe,0
i hope the yankees get soriano shoulda never gave him away for alex rodriguez,0
see you fags in hours,1
cracker jack work cdc did ya think of checking the plane full of people,0
when you gotta boomin ass voice all you have to do is look at bitches and scream now den ya in da pussy,1
god still share his amos blessings,0
you don t want to battle you shook cause ain t no such things as half way crooks bitch,1
thanks charlie have a great evening,0
rt if you think i ve been an opinionated bitch lately just be glad i ve stayed quiet on of the topics swirling around he,1
rt guy send me a pic of your pussy girl ok sends pic of pussy guy holy shit what dafuq i wanted to see the cat,1
some movies are made to facilitate dudes to pick girls up think out side the box lil nigguh,1
hey bohner said he got of what he wanted in sequester you sound like a moron when everyone knows you are lying,0
rt all it takes is one bitch ass monkey or human to fuck up every bodies peace and serenity,1
rt ray j is the perfect example of what happens when you give a lame nigga some pussy,1
rt saw a man in a yellow trench coat amp matching fedora with an iwatch what a dick,1
rt buckwheat and porky,0
bout to be in ike a couple hours,0
rt trash,0
i could have died i called my mom a bitch lmao,1
golden oreos regular oreos yes,0
sore loser charlie crist won t give concession speech calls for recount,0
my bitch bad piece yo bitch got bad feet,1
yeah the nfl trash as fuck for this london shit,1
rt thanks charlie,0
shit ain t gon be funny when you need me to get you outta a horrific car crash bitch,1
mormon hoes,1
my dogs man i remember ok girl text my phone on they bs squads was ready deep thenna bitch ready to go,1
thursdays really been trash this season,0
and the jew favorited my tweet though lol don t have anymore time for this trash,1
that s not how you resist you worthless retard do you need a dictionary,1
when niggas say they like latinas they don t mean you fat bitches that smell like fajitas,1
the only thing better than a bargain is a yankee bargain,0
lol then they have one more flavor i think it s yellow idk but yea there bomb,0
hunnit hoes in the house amp they all fckn watch dog ass kb ball again ion see a bih cause they broke as hell places ain goin broke or jail,1
hope she s larger than a bird,0
as long as its not one of those special brownies right,0
shake that bear aka two rednecks having sex on a dead bear,1
gone bust it open for a real nicca,0
bruh soo trash,0
a squad of dyke cholas fear nobody they worse than the cartel,0
rt lou gehrig had hand fractures in his career played in straight games,0
so my light was off amp door was closed mom walks in turn lights on tells me to take trash out in the morning then walked out light on,0
yes and favorites this rt please tell me you didn t buy that trash,0
i m a wexican,0
rt prime suspect of murder is y o british jihadi who wait for it declared his allegiance to anonymous,0
join my crew bitches,1
of bcs titles mil in revenue it s great being in a redneck conference and not in ohio,0
on my way to fuck your bitch in the name of the lord mr race,1
saw brownies on the kitchen counter bit into one and immediately a surge of pain and spice hit my tongue chili flakes eff you brian,0
rt man now these hoes know,1
what a bitch,1
lol i already made it i m waiting on my brownies to finish,0
going for a bitch nigga neck cause nigga am rollin,1
traded in my nikes for a new mic i guess it s safe to say he sold soles for his new life bada,0
thick raw fuck damn his man pussy is getting a workout,1
jindal seemed to be having an out of body experience enhanced by special brownies bj up and at em,0
i already know i m about to buy so many bitches drinks tonight that i ll never fuck but life s all about hits and misses gotta take chances,1
alarm set early bird n all that night all xx,0
stephan a smith saying jay cutlers shouldn t be a mvp candidate is just straight up retarded,0
you re just trash like sorry,0
rt oreo cookie pancakes,0
a young nigga turned into mr catchmeifyoucan i m in da field my nig,1
bet my trash ass self is just that petty,1
peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash,0
isis jihadis discuss buying and selling yezidi girls as slaves,0
marcus is in this hoe schleeeeeeeeeeppppppp,1
i just realized me and have been talking shit to each other nonstop for the past hours stop texting me bitch,1
i know you bitches is hating on the low why me tho its way more niggaz in this world that can afford it,1
i like chilling with your bitch and i like fucking her,1
rt call me a free bird,0
my baby guinea pig is so cute,0
this picture on weibo made china s censors add big yellow duck to its list of banned terms,0
rt i hate a dumb bitch,1
fuck you you re a fucking a lowlife piece of trash,1
sheryl crow being the bae,0
finally got an updated pic with angel wing colored,0
dropped a stack cause bitch i m on song called dope download the mixtape here,1
lola foxx nubile co ed shows off her pink pussy while she fondles herself,1
got my vans on my pockets chunky,0
rt any favorites off yellow album all of it,0
you messin with broke niggahs you gon be broke niggah,1
permanent slit in my eyebrow from when i tumbled down the bleachers when i was little i stayed in the er,0
such a hoe,1
bjergsen just made a full as rune page i don t just me full as reds and quints i mean as reds blues yellows and quints as,0
not ya grandma brownies wink wink,0
rt dawn of the planet of the apes of the four calling birds of the three french hens of the two turtle doves of the partridge in,0
rt we gave a chance it failed no more of this nonsense is statist trash,0
that hoe aint there anymore,1
game preview houston at new york,0
anyone who came to the us as an indentured servant is white trash,1
matthew look at the birds of the air and yet your heavenly father feeds them are you not much more valuable than they,0
lol stop fuckin wit dem birds rt fuck y all hoes all y all do is lie,1
mock draft,0
early bird gets the worm,0
at all my ritz crackers idk what to do with myself anymore,0
rt how i eat the pussy,1
one night stand y all hoes y all ain t nothing more,1
rt thot is a childish word grow up and call that bitch a hoe,1
despite the zebra red rocket special portland beats those jersey shore floppers,0
rt lol i have an obsession with smell goods candles plug ins spray the smelly good wax thingys pussy,1
the perfect gift for the jihadi on your shopping list,0
no you ignorant cement headed hillbilly you said taxing cant you fuckin read you fucking knob gobbling douchebag,1
no half breed spic has any right to say anything to any anglo ever and should be killed for doing so,1
one mans trash is another mans treasure,0
fucking lying cunts man gotta love them,1
my nerves are being worked cos of my monkey,0
bye bye charlie strong,0
mental asylum in dallas texas s should i go find this hoe,1
rt china s bird flu outbreak good signs bad signs and very bad signs,0
see two of his bitches in the cluuuuub what he do for a living,1
thanks hoe,1
rt funny how rick scott accuses charlie crist of changing his positions on everything rick s positions are dictated by corp,0
ayy might as well get fat hoes don t even like abs nomo they like balla bellys,1
ok my texas bitch keep textin me callin cryin stressin me askin me about where i been but i been with another bitch allegedly,1
don t blame me blame ya bitch can t help she want a nigga,1
slide in that hoe dm s like,1
wdmc rt so what shit is this male hoes now what is going on,1
your a greaser,0
rt when you drop all your hoes for one person and y all don t end up together,1
you re not funny trash,0
i need like fuzzy blankets to sleep,0
yep sources confirmed it that iggy concert last night was trash,0
what a little bitch lol,1
rt i see you again didn t election bird for government america that okay i guess i just take this free cookie for everyo,0
rt tornado sirens atleast i ll be dying with you guys and this ho,0
rt you know you re ugly when an ape was chosen as a man crush and you ve never been,0
attn all brown university students the stop and frisk protesters will be systematically dispersed into random u s ghettos good luck,0
i guess ill just trash this drawing because of roster changes,0
rt all these girls saying nobody can put em up with em dont no nigga want a bitch as a girlfriend fix that shit,1
late night studio sessions bitch i got that work brickk ent ya bitch ycg night life,1
rt she s bro was ken bec a use s side he beli hoe ved,0
this pussy dryer than yours rt drier vs dryer,1
oh yeah and the annoying damn duck calls they outta be banned duck horns,0
thing that made me feel old today tori amos is,0
my nips are cold,0
great gif got a source url for,0
dat da bad thing bout being colored day bring me in to fight but don t vite me to da victory partay,0
rt i m out this bitch too,1
we ve used the word cunt almost times its beautiful,1
bitch nigga dont get all but hurt,1
is soooo cute but he probably has hoes on him a lot,1
i be try a log on to ig an like pics but bitches dont be posting no pics,1
sexy lad with hot soles and arches,0
rt early bird catches the worm people,0
i swear to god nigger you better still hang with me before work you got my hype,1
double stuff oreos mane say,0
i hate being profiled i m not country i m not a hick i m eric dean vestal and i m doing what makes me happy not anything else,0
rt rise of the planet of the apes,0
no girls no hoes just me myself and i,0
got me feelin like ain t dead got me ready to call the da truth,0
when i see a super bad bitch and she happen to be from my city i just feel the need to shoot my shot,1
that awkward moment when a hoe says she s not a hoe,1
of us decided to drink everclear and go to a yankees game only two made it to their seat,0
charlie is so adorable,0
rough mock for the base of what will eventually be an ashtray tiki ti,0
i wanna apologize for being such a bitch the other day but the way my emotions are set up,1
best asian massage on the park slope top rated spa,0
thanks hun lt i m so crushed i love working out it ll be months gone by the time i go back,0
unemployed niggas get the most bitches,1
i found a new way to chug you have to open your mouth alot,0
i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place,1
nigger hello,1
puppets like don will intentionally and forever cripple our people s ability to unify a eco and political consensus,0
let the jig commence,0
ian hunter once bitten twice shy on,0
too make up for your yellow chompers,0
rt lexi swear she a bad bitch,1
niggas cant stand me cuz they bitches be feelin a nigga get mad at yo so called girl,1
rt horrible rapper tyga most trash rapper ever she want a yellow nigga corn on the cob i smacked my mom when i heard him,1
love you too bitch,1
rt looked like princess bella in that yellow dress,0
mashed potatoes string beans yellow rice and chicken,0
eharmony just informed me that my soulmate is an sea doo with a trash bag of whataburger taquitos bungeed on top thx dr neil warren,0
rt i hate when netflix stop amp asks if im still watchin like yes u think i got up amp started doin somethin with my life bitch,1
rt i thought it was raining because of the sound on the roof but it was just birds exploding from the heat,0
rt claim whatever part of her u please fuck her to bliss or bruise her sweet pussy with a crop till she begs to be your filthy,1
apparently i m pathetic trash alright,0
aw drake is do you sit in the corner and cry when you listen to him lmfao pussy dick rider how drakes cock taste faggot,1
rt bitch had me and my car all the way fucked up had to cuss a bitch out via note,1
big bird holds press conf claims he does not care for the letter f,0
if my bf posts a pic of my daughter just like it and keep scrolling your comments aren t necessary yes bitch i know she s cute,1
this girl legit looks like a pig kiss imik you bitch,1
rt meat forevea selling a bitch out,1
eh take off hoser,0
rt faints rt she has no idea how many of her resumes went straight to the trash,0
rt there might be a couple cotton pickers on the spurs but they all play unselfish white man basketball,1
stegosaurus hissed like a snake pterodactyl sounded like a crow t rex like a cross between a parrot and an elephant,0
love is a bird of flames thank you for that song,0
its true that the early bird gets the worm first,0
hoes will be hoes monday saturday amp starting again sunday after church services,1
i m not the type of guy to bitch about how hot it is but it s about to be and i m still sweating,1
rt you shoulda learned how to bake cuz bitches love cake,1
the kikes want to charge you dollaz for the complete version,0
hahaha chunky goalkeeper makes a save with his stomach,0
yes so you could leave fag,1
that s hoser eh to you,0
she wasn t saying she did but yes me and kannon have both been in the ghetto and know what it s like so u look dumb,0
rt those rich son s of bitches too gready smh,1
rt twitter tipped its cap to say to jeter in his yankee stadium finale video,0
sup fat bitch,1
can i beat this bitch up seriously what a bitch,1
u look like that fat kid on charlie walker the that got stuck it the chocolate tube,0
mi caldito de pollo estuvo incredible ahora a snuggle con mi snuggie y mi hubby queeee riiikkooo,0
saves you a brownie,0
rt deep fried oreos,0
naw bitch you goin against a monster lol lyrical maniac,1
